id_bank;nama_bank;kode_bank
2;BANK BRI;2
14;BANK BCA;14
8;BANK MANDIRI;8
9;BANK BNI;9
427;BANK BNI SYARIAH;427
451;BANK SYARIAH MANDIRI (BSM);451
22;BANK CIMB NIAGA;22
22;BANK CIMB NIAGA SYARIAH;22
147;BANK MUAMALAT;147
213;BANK BTPN;213
547;BANK BTPN SYARIAH;547
213;JENIUS;213
422;BANK BRI SYARIAH;422
200;BANK BTN;200
13;BANK PERMATA;13
11;BANK DANAMON;11
16;BANK BII MAYBANK;16
426;BANK MEGA;426
153;BANK SINARMAS;153
950;BANK COMMONWEALTH;950
28;BANK OCBC NISP;28
441;BANK BUKOPIN;441
521;BANK BUKOPIN SYARIAH;521
536;BANK BCA SYARIAH;536
26;BANK LIPPO;26
31;CITIBANK;31
789;INDOSAT DOMPETKU;789
911;TELKOMSEL TCASH;911
911;LINKAJA;911
110;BANK JABAR;110
111;BANK DKI JAKARTA;111
112;BPD DIY (YOGYAKARTA);112
113;BANK JATENG (JAWA TENGAH);113
114;BANK JATIM (JAWA BARAT);114
115;BPD JAMBI;115
116;BPD ACEH;116
116;BPD ACEH SYARIAH;116
117;BANK SUMUT;117
118;BANK NAGARI (BANK SUMBAR);118
119;BANK RIAU KEPRI;119
120;BANK SUMSEL BABEL;120
121;BANK LAMPUNG;121
122;BANK KALSEL (BANK KALIMANTAN SELATAN);122
123;BANK KALBAR (BANK KALIMANTAN BARAT);123
124;BANK KALTIMTARA (BANK KALIMANTAN TIMUR DAN UTARA);124
125;BANK KALTENG (BANK KALIMANTAN TENGAH);125
126;BANK SULSELBAR (BANK SULAWESI SELATAN DAN BARAT);126
127;BANK SULUTGO (BANK SULAWESI UTARA DAN GORONTALO);127
128;BANK NTB;128
128;BANK NTB SYARIAH;128
129;BANK BPD BALI;129
130;BANK NTT;130
131;BANK MALUKU MALUT;131
132;BANK PAPUA;132
133;BANK BENGKULU;133
134;BANK SULTENG (BANK SULAWESI TENGAH);134
135;BANK SULTRA;135
137;BANK BPD BANTEN;137
3;BANK EKSPOR INDONESIA;3
19;BANK PANIN;19
517;BANK PANIN DUBAI SYARIAH;517
20;BANK ARTA NIAGA KENCANA;20
23;BANK UOB INDONESIA (BANK BUANA INDONESIA);23
30;AMERICAN EXPRESS BANK LTD;30
31;CITIBANK N.A.;31
32;JP. MORGAN CHASE BANK, N.A.;32
33;BANK OF AMERICA, N.A;33
34;ING INDONESIA BANK;34
36;BANK MULTICOR;36
37;BANK ARTHA GRAHA INTERNASIONAL;37
39;BANK CREDIT AGRICOLE INDOSUEZ;39
40;THE BANGKOK BANK COMP. LTD;40
41;BANK HSBC;41
42;THE BANK OF TOKYO MITSUBISHI UFJ LTD;42
45;BANK SUMITOMO MITSUI INDONESIA;45
46;BANK DBS INDONESIA;46
46;DIGIBANK;46
47;BANK RESONA PERDANIA;47
48;BANK MIZUHO INDONESIA;48
50;STANDARD CHARTERED BANK;50
52;BANK ABN AMRO;52
53;BANK KEPPEL TATLEE BUANA;53
54;BANK CAPITAL INDONESIA;54
57;BANK BNP PARIBAS INDONESIA;57
23;BANK UOB INDONESIA;23
59;KOREA EXCHANGE BANK DANAMON;59
60;RABOBANK INTERNASIONAL INDONESIA;60
61;BANK ANZ INDONESIA;61
68;BANK WOORI SAUDARA;68
69;BANK OF CHINA;69
76;BANK BUMI ARTA;76
87;BANK EKONOMI;87
88;BANK ANTARDAERAH;88
89;BANK HAGA;89
93;BANK IFI;93
95;BANK CENTURY;95
97;BANK MAYAPADA;97
145;BANK NUSANTARA PARAHYANGAN;145
146;BANK SWADESI (BANK OF INDIA INDONESIA);146
151;BANK MESTIKA DHARMA;151
152;BANK SHINHAN INDONESIA (BANK METRO EXPRESS);152
157;BANK MASPION INDONESIA;157
159;BANK HAGAKITA;159
161;BANK GANESHA;161
162;BANK WINDU KENTJANA;162
164;BANK ICBC INDONESIA (HALIM INDONESIA BANK);164
166;BANK HARMONI INTERNATIONAL;166
167;BANK QNB KESAWAN (BANK QNB INDONESIA);167
212;BANK HIMPUNAN SAUDARA 1906;212
405;BANK SWAGUNA;405
459;BANK BISNIS INTERNASIONAL;459
466;BANK SRI PARTHA;466
472;BANK JASA JAKARTA;472
484;BANK BINTANG MANUNGGAL;484
485;BANK MNC INTERNASIONAL (BANK BUMIPUTERA);485
490;BANK YUDHA BHAKTI;490
491;BANK MITRANIAGA;491
494;BANK BRI AGRO NIAGA;494
498;BANK SBI INDONESIA (BANK INDOMONEX);498
501;BANK ROYAL INDONESIA;501
503;BANK NATIONAL NOBU (BANK ALFINDO);503
506;BANK MEGA SYARIAH;506
513;BANK INA PERDANA;513
517;BANK HARFA;517
520;PRIMA MASTER BANK;520
521;BANK PERSYARIKATAN INDONESIA;521
525;BANK AKITA;525
526;LIMAN INTERNATIONAL BANK;526
531;ANGLOMAS INTERNASIONAL BANK;531
523;BANK SAHABAT SAMPEORNA (BANK DIPO INTERNATIONAL);523
535;BANK KESEJAHTERAAN EKONOMI;535
542;BANK ARTOS INDONESIA;542
547;BANK PURBA DANARTA;547
548;BANK MULTI ARTA SENTOSA;548
553;BANK MAYORA INDONESIA;553
555;BANK INDEX SELINDO;555
566;BANK VICTORIA INTERNATIONAL;566
558;BANK EKSEKUTIF;558
559;CENTRATAMA NASIONAL BANK;559
562;BANK FAMA INTERNASIONAL;562
564;BANK MANDIRI TASPEN POS (BANK SINAR HARAPAN BALI);564
567;BANK HARDA;567
945;BANK AGRIS (BANK FINCONESIA);945
946;BANK MERINCORP;946
947;BANK MAYBANK INDOCORP;947
948;BANK OCBC – INDONESIA;948
949;BANK CTBC (CHINA TRUST) INDONESIA;949
425;BANK BJB SYARIAH;425
688;BPR KS (KARYAJATNIKA SEDAYA);688
